DataID,Sensor/Actuator Name,Sensor/Actuator Type,Sensor Location,Date of Read,Sensor/Actuator Value
68,temp2,temp2,Hydroponics farm,06/12/2020 11:20,24
69,temp1,temp1,Hydroponics farm,06/12/2020 11:20,31
70,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,8
71,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,43
72,ldr,ldr,Hydroponics farm,06/12/2020 11:20,306
73,heater,heater,Hydroponics farm,06/12/2020 11:20,1
74,temp2,temp2,Hydroponics farm,06/12/2020 11:20,23
75,pump,pump,Hydroponics farm,06/12/2020 11:20,1
76,temp1,temp1,Hydroponics farm,06/12/2020 11:20,36
77,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,54
78,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,78
79,temp2,temp2,Hydroponics farm,06/12/2020 11:20,25
80,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
81,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,34
82,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,67
83,temp2,temp2,Hydroponics farm,06/12/2020 11:20,29
84,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
85,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,39
86,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,60
87,ldr,ldr,Hydroponics farm,06/12/2020 11:20,866
88,temp2,temp2,Hydroponics farm,06/12/2020 11:20,21
89,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
90,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,9
91,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,71
92,temp2,temp2,Hydroponics farm,06/12/2020 11:20,25
93,temp1,temp1,Hydroponics farm,06/12/2020 11:20,30
94,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,42
95,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,41
96,heater,heater,Hydroponics farm,06/12/2020 11:20,0
97,pump,pump,Hydroponics farm,06/12/2020 11:20,0
98,temp2,temp2,Hydroponics farm,06/12/2020 11:20,21
99,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
100,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,48
101,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,42
102,ldr,ldr,Hydroponics farm,06/12/2020 11:20,635
103,temp2,temp2,Hydroponics farm,06/12/2020 11:20,26
104,temp1,temp1,Hydroponics farm,06/12/2020 11:20,35
105,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,54
106,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,46
107,temp2,temp2,Hydroponics farm,06/12/2020 11:20,27
108,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
109,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,39
110,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,99
111,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
112,temp1,temp1,Hydroponics farm,06/12/2020 11:20,34
113,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,11
114,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,96
115,ldr,ldr,Hydroponics farm,06/12/2020 11:20,22
116,temp2,temp2,Hydroponics farm,06/12/2020 11:20,26
117,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
118,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,25
119,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,82
120,heater,heater,Hydroponics farm,06/12/2020 11:20,1
121,pump,pump,Hydroponics farm,06/12/2020 11:20,0
122,temp2,temp2,Hydroponics farm,06/12/2020 11:20,25
123,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
124,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,20
125,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,84
126,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
127,temp1,temp1,Hydroponics farm,06/12/2020 11:20,36
128,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,26
129,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,54
130,ldr,ldr,Hydroponics farm,06/12/2020 11:20,829
131,temp2,temp2,Hydroponics farm,06/12/2020 11:20,23
132,temp1,temp1,Hydroponics farm,06/12/2020 11:20,36
133,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,52
134,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,60
135,temp2,temp2,Hydroponics farm,06/12/2020 11:20,29
136,temp1,temp1,Hydroponics farm,06/12/2020 11:20,34
137,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,17
138,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,49
139,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
140,temp1,temp1,Hydroponics farm,06/12/2020 11:20,32
141,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,39
142,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,47
143,ldr,ldr,Hydroponics farm,06/12/2020 11:20,351
144,heater,heater,Hydroponics farm,06/12/2020 11:20,1
145,pump,pump,Hydroponics farm,06/12/2020 11:20,1
146,temp2,temp2,Hydroponics farm,06/12/2020 11:20,20
147,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
148,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,24
149,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,51
150,temp2,temp2,Hydroponics farm,06/12/2020 11:20,24
151,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
152,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,30
153,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,84
154,temp2,temp2,Hydroponics farm,06/12/2020 11:20,21
155,temp1,temp1,Hydroponics farm,06/12/2020 11:20,32
156,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,54
157,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,73
158,ldr,ldr,Hydroponics farm,06/12/2020 11:20,289
159,temp2,temp2,Hydroponics farm,06/12/2020 11:20,29
160,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
161,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,56
162,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,52
163,temp2,temp2,Hydroponics farm,06/12/2020 11:20,26
164,temp1,temp1,Hydroponics farm,06/12/2020 11:20,34
165,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,28
166,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,70
167,heater,heater,Hydroponics farm,06/12/2020 11:20,0
168,pump,pump,Hydroponics farm,06/12/2020 11:20,0
169,temp2,temp2,Hydroponics farm,06/12/2020 11:20,24
170,temp1,temp1,Hydroponics farm,06/12/2020 11:20,33
171,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,5
172,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,70
173,ldr,ldr,Hydroponics farm,06/12/2020 11:20,396
174,temp2,temp2,Hydroponics farm,06/12/2020 11:20,26
175,temp1,temp1,Hydroponics farm,06/12/2020 11:20,39
176,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,23
177,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,96
178,temp2,temp2,Hydroponics farm,06/12/2020 11:20,27
179,temp1,temp1,Hydroponics farm,06/12/2020 11:20,35
180,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,57
181,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,97
182,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
183,temp1,temp1,Hydroponics farm,06/12/2020 11:20,34
184,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,17
185,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,71
186,ldr,ldr,Hydroponics farm,06/12/2020 11:20,65
187,temp2,temp2,Hydroponics farm,06/12/2020 11:20,29
188,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
189,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,24
190,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,82
191,heater,heater,Hydroponics farm,06/12/2020 11:20,0
192,pump,pump,Hydroponics farm,06/12/2020 11:20,1
193,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
194,temp1,temp1,Hydroponics farm,06/12/2020 11:20,40
195,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,22
196,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,89
197,temp2,temp2,Hydroponics farm,06/12/2020 11:20,23
198,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
199,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,7
200,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,86
201,ldr,ldr,Hydroponics farm,06/12/2020 11:20,687
202,temp2,temp2,Hydroponics farm,06/12/2020 11:20,23
203,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
204,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,9
205,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,92
206,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
207,temp1,temp1,Hydroponics farm,06/12/2020 11:20,39
208,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,27
209,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,68
210,temp2,temp2,Hydroponics farm,06/12/2020 11:20,26
211,temp1,temp1,Hydroponics farm,06/12/2020 11:20,30
212,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,52
213,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,84
214,heater,heater,Hydroponics farm,06/12/2020 11:20,0
215,ldr,ldr,Hydroponics farm,06/12/2020 11:20,42
216,pump,pump,Hydroponics farm,06/12/2020 11:20,0
217,temp2,temp2,Hydroponics farm,06/12/2020 11:20,25
218,temp1,temp1,Hydroponics farm,06/12/2020 11:20,36
219,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,47
220,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,91
221,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
222,temp1,temp1,Hydroponics farm,06/12/2020 11:21,33
223,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,5
224,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,84
225,temp2,temp2,Hydroponics farm,06/12/2020 11:21,27
226,temp1,temp1,Hydroponics farm,06/12/2020 11:21,35
227,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,28
228,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,45
229,ldr,ldr,Hydroponics farm,06/12/2020 11:21,851
230,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
231,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
232,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,7
233,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,87
234,temp2,temp2,Hydroponics farm,06/12/2020 11:21,27
235,temp1,temp1,Hydroponics farm,06/12/2020 11:21,36
236,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,14
237,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,59
238,heater,heater,Hydroponics farm,06/12/2020 11:21,0
239,pump,pump,Hydroponics farm,06/12/2020 11:21,0
240,temp2,temp2,Hydroponics farm,06/12/2020 11:21,22
241,temp1,temp1,Hydroponics farm,06/12/2020 11:21,39
242,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,6
243,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,84
244,ldr,ldr,Hydroponics farm,06/12/2020 11:21,905
245,temp2,temp2,Hydroponics farm,06/12/2020 11:21,20
246,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
247,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,33
248,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,90
249,temp2,temp2,Hydroponics farm,06/12/2020 11:21,27
250,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
251,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,57
252,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,92
253,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
254,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
255,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,20
256,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,83
257,ldr,ldr,Hydroponics farm,06/12/2020 11:21,38
258,temp2,temp2,Hydroponics farm,06/12/2020 11:21,30
259,temp1,temp1,Hydroponics farm,06/12/2020 11:21,39
260,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,34
261,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,72
262,heater,heater,Hydroponics farm,06/12/2020 11:21,0
263,pump,pump,Hydroponics farm,06/12/2020 11:21,0
264,temp2,temp2,Hydroponics farm,06/12/2020 11:21,21
265,temp1,temp1,Hydroponics farm,06/12/2020 11:21,31
266,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,34
267,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,56
268,temp2,temp2,Hydroponics farm,06/12/2020 11:21,30
269,temp1,temp1,Hydroponics farm,06/12/2020 11:21,39
270,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,56
271,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,88
272,ldr,ldr,Hydroponics farm,06/12/2020 11:21,885
273,temp2,temp2,Hydroponics farm,06/12/2020 11:21,23
274,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
275,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,28
276,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,65
277,temp2,temp2,Hydroponics farm,06/12/2020 11:21,28
278,temp1,temp1,Hydroponics farm,06/12/2020 11:21,30
279,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,8
280,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,65
281,temp2,temp2,Hydroponics farm,06/12/2020 11:21,30
282,temp1,temp1,Hydroponics farm,06/12/2020 11:21,33
283,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,33
284,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,98
285,heater,heater,Hydroponics farm,06/12/2020 11:21,1
286,ldr,ldr,Hydroponics farm,06/12/2020 11:21,148
287,pump,pump,Hydroponics farm,06/12/2020 11:21,1
288,temp2,temp2,Hydroponics farm,06/12/2020 11:21,25
289,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
290,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,26
291,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,74
292,temp2,temp2,Hydroponics farm,06/12/2020 11:21,21
293,temp1,temp1,Hydroponics farm,06/12/2020 11:21,34
294,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,9
295,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,54
296,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
297,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
298,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,12
299,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,87
300,ldr,ldr,Hydroponics farm,06/12/2020 11:21,627
301,temp2,temp2,Hydroponics farm,06/12/2020 11:21,28
302,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
303,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,30
304,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,76
305,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
306,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
307,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,20
308,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,63
309,heater,heater,Hydroponics farm,06/12/2020 11:21,0
310,pump,pump,Hydroponics farm,06/12/2020 11:21,1
311,temp2,temp2,Hydroponics farm,06/12/2020 11:21,30
312,temp1,temp1,Hydroponics farm,06/12/2020 11:21,38
313,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,60
314,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,59
315,ldr,ldr,Hydroponics farm,06/12/2020 11:21,999
316,temp2,temp2,Hydroponics farm,06/12/2020 11:21,23
317,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
318,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,32
319,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,94
320,temp2,temp2,Hydroponics farm,06/12/2020 11:21,21
321,temp1,temp1,Hydroponics farm,06/12/2020 11:21,36
322,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,57
323,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,56
324,temp2,temp2,Hydroponics farm,06/12/2020 11:21,24
325,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
326,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,96
327,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,44
328,ldr,ldr,Hydroponics farm,06/12/2020 11:21,674
329,temp2,temp2,Hydroponics farm,06/12/2020 11:21,21
330,temp1,temp1,Hydroponics farm,06/12/2020 11:21,38
331,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,19
332,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,74
333,heater,heater,Hydroponics farm,06/12/2020 11:21,0
334,pump,pump,Hydroponics farm,06/12/2020 11:21,0
335,temp2,temp2,Hydroponics farm,06/12/2020 11:21,20
336,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
337,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,72
338,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,13
339,temp2,temp2,Hydroponics farm,06/12/2020 11:21,30
340,temp1,temp1,Hydroponics farm,06/12/2020 11:21,33
341,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,75
342,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,21
343,ldr,ldr,Hydroponics farm,06/12/2020 11:21,113
344,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
345,temp1,temp1,Hydroponics farm,06/12/2020 11:21,40
346,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,85
347,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,45
348,temp2,temp2,Hydroponics farm,06/12/2020 11:21,26
349,temp1,temp1,Hydroponics farm,06/12/2020 11:21,31
350,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,66
351,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,15
352,temp2,temp2,Hydroponics farm,06/12/2020 11:21,25
353,temp1,temp1,Hydroponics farm,06/12/2020 11:21,38
354,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,56
355,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,71
356,heater,heater,Hydroponics farm,06/12/2020 11:21,0
357,ldr,ldr,Hydroponics farm,06/12/2020 11:21,760
358,pump,pump,Hydroponics farm,06/12/2020 11:21,1
359,temp2,temp2,Hydroponics farm,06/12/2020 11:21,28
360,temp1,temp1,Hydroponics farm,06/12/2020 11:21,38
361,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,99
362,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,54
363,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
364,temp1,temp1,Hydroponics farm,06/12/2020 11:21,38
365,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,100
366,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,35
367,temp2,temp2,Hydroponics farm,06/12/2020 11:21,27
368,temp1,temp1,Hydroponics farm,06/12/2020 11:21,35
369,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,54
370,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,40
371,ldr,ldr,Hydroponics farm,06/12/2020 11:21,816
372,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
373,temp1,temp1,Hydroponics farm,06/12/2020 11:21,36
374,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,42
375,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,7
376,temp2,temp2,Hydroponics farm,06/12/2020 11:21,30
377,temp1,temp1,Hydroponics farm,06/12/2020 11:21,30
378,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,70
379,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,57
380,heater,heater,Hydroponics farm,06/12/2020 11:21,0
381,pump,pump,Hydroponics farm,06/12/2020 11:21,1
382,temp2,temp2,Hydroponics farm,06/12/2020 11:21,23
383,temp1,temp1,Hydroponics farm,06/12/2020 11:21,30
384,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,87
385,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,47
386,ldr,ldr,Hydroponics farm,06/12/2020 11:21,148
387,temp2,temp2,Hydroponics farm,06/12/2020 11:21,26
388,temp1,temp1,Hydroponics farm,06/12/2020 11:21,34
389,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,52
390,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,33
391,temp2,temp2,Hydroponics farm,06/12/2020 11:21,22
392,temp1,temp1,Hydroponics farm,06/12/2020 11:21,36
393,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,48
394,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,23
395,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
396,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
397,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,53
398,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,57
399,ldr,ldr,Hydroponics farm,06/12/2020 11:21,273
400,temp2,temp2,Hydroponics farm,06/12/2020 11:21,20
401,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
402,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,67
403,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,26
404,heater,heater,Hydroponics farm,06/12/2020 11:21,1
405,pump,pump,Hydroponics farm,06/12/2020 11:21,1
406,temp2,temp2,Hydroponics farm,06/12/2020 11:21,20
407,temp1,temp1,Hydroponics farm,06/12/2020 11:21,32
408,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,82
409,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,10
410,temp2,temp2,Hydroponics farm,06/12/2020 11:21,21
411,temp1,temp1,Hydroponics farm,06/12/2020 11:21,36
412,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,99
413,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,14
414,ldr,ldr,Hydroponics farm,06/12/2020 11:21,833
415,temp2,temp2,Hydroponics farm,06/12/2020 11:21,29
416,temp1,temp1,Hydroponics farm,06/12/2020 11:21,34
417,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,93
418,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,48
419,temp2,temp2,Hydroponics farm,06/12/2020 11:21,21
420,temp1,temp1,Hydroponics farm,06/12/2020 11:21,36
421,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,83
422,humidity1,humidity1,Hydroponics farm,06/12/2020 11:21,57
423,temp2,temp2,Hydroponics farm,06/12/2020 11:21,20
424,temp1,temp1,Hydroponics farm,06/12/2020 11:21,38
425,humidity2,humidity2,Hydroponics farm,06/12/2020 11:21,67
